"Index Name","Date","Open","High","Low","Close"
"NIFTY MIDSMALL HEALTHCARE","15 Mar 2024","-","-","-","31187.50"
"NIFTY MIDSMALL HEALTHCARE","14 Mar 2024","-","-","-","31407.95"
"NIFTY MIDSMALL HEALTHCARE","13 Mar 2024","-","-","-","30944.90"
"NIFTY MIDSMALL HEALTHCARE","12 Mar 2024","-","-","-","31969.52"
"NIFTY MIDSMALL HEALTHCARE","11 Mar 2024","-","-","-","32310.97"
"NIFTY MIDSMALL HEALTHCARE","07 Mar 2024","-","-","-","32290.99"
"NIFTY MIDSMALL HEALTHCARE","06 Mar 2024","-","-","-","32244.20"
"NIFTY MIDSMALL HEALTHCARE","05 Mar 2024","-","-","-","32246.59"
"NIFTY MIDSMALL HEALTHCARE","04 Mar 2024","-","-","-","32469.52"
"NIFTY MIDSMALL HEALTHCARE","02 Mar 2024","-","-","-","32822.62"
"NIFTY MIDSMALL HEALTHCARE","01 Mar 2024","-","-","-","32387.06"
"NIFTY MIDSMALL HEALTHCARE","29 Feb 2024","-","-","-","32814.44"
"NIFTY MIDSMALL HEALTHCARE","28 Feb 2024","-","-","-","33187.70"
"NIFTY MIDSMALL HEALTHCARE","27 Feb 2024","-","-","-","33450.42"
"NIFTY MIDSMALL HEALTHCARE","26 Feb 2024","-","-","-","33363.08"
"NIFTY MIDSMALL HEALTHCARE","23 Feb 2024","-","-","-","33770.99"
"NIFTY MIDSMALL HEALTHCARE","22 Feb 2024","-","-","-","33841.89"
"NIFTY MIDSMALL HEALTHCARE","21 Feb 2024","-","-","-","33821.51"
"NIFTY MIDSMALL HEALTHCARE","20 Feb 2024","-","-","-","33953.58"
"NIFTY MIDSMALL HEALTHCARE","19 Feb 2024","-","-","-","33855.93"
"NIFTY MIDSMALL HEALTHCARE","16 Feb 2024","-","-","-","33981.13"
"NIFTY MIDSMALL HEALTHCARE","15 Feb 2024","-","-","-","33306.65"
"NIFTY MIDSMALL HEALTHCARE","14 Feb 2024","-","-","-","33252.65"
"NIFTY MIDSMALL HEALTHCARE","13 Feb 2024","-","-","-","33482.08"
"NIFTY MIDSMALL HEALTHCARE","12 Feb 2024","-","-","-","33166.85"
"NIFTY MIDSMALL HEALTHCARE","09 Feb 2024","-","-","-","33344.39"
"NIFTY MIDSMALL HEALTHCARE","08 Feb 2024","-","-","-","33431.12"
"NIFTY MIDSMALL HEALTHCARE","07 Feb 2024","-","-","-","33391.02"
"NIFTY MIDSMALL HEALTHCARE","06 Feb 2024","-","-","-","33366.60"
"NIFTY MIDSMALL HEALTHCARE","05 Feb 2024","-","-","-","32600.92"
"NIFTY MIDSMALL HEALTHCARE","02 Feb 2024","-","-","-","32309.76"
"NIFTY MIDSMALL HEALTHCARE","01 Feb 2024","-","-","-","32357.68"
"NIFTY MIDSMALL HEALTHCARE","31 Jan 2024","-","-","-","32385.42"
"NIFTY MIDSMALL HEALTHCARE","30 Jan 2024","-","-","-","31586.29"
"NIFTY MIDSMALL HEALTHCARE","29 Jan 2024","-","-","-","31670.49"
"NIFTY MIDSMALL HEALTHCARE","25 Jan 2024","-","-","-","31592.45"
"NIFTY MIDSMALL HEALTHCARE","24 Jan 2024","-","-","-","31835.50"
"NIFTY MIDSMALL HEALTHCARE","23 Jan 2024","-","-","-","31660.58"
"NIFTY MIDSMALL HEALTHCARE","20 Jan 2024","-","-","-","31628.71"
"NIFTY MIDSMALL HEALTHCARE","19 Jan 2024","-","-","-","31789.11"
"NIFTY MIDSMALL HEALTHCARE","18 Jan 2024","-","-","-","31458.75"
"NIFTY MIDSMALL HEALTHCARE","17 Jan 2024","-","-","-","31525.91"
"NIFTY MIDSMALL HEALTHCARE","16 Jan 2024","-","-","-","31630.55"
"NIFTY MIDSMALL HEALTHCARE","15 Jan 2024","-","-","-","31903.70"
"NIFTY MIDSMALL HEALTHCARE","12 Jan 2024","-","-","-","31713.79"
"NIFTY MIDSMALL HEALTHCARE","11 Jan 2024","-","-","-","31929.18"
"NIFTY MIDSMALL HEALTHCARE","10 Jan 2024","-","-","-","31668.30"
"NIFTY MIDSMALL HEALTHCARE","09 Jan 2024","-","-","-","31558.92"
"NIFTY MIDSMALL HEALTHCARE","08 Jan 2024","-","-","-","31349.60"
"NIFTY MIDSMALL HEALTHCARE","05 Jan 2024","-","-","-","31753.35"
"NIFTY MIDSMALL HEALTHCARE","04 Jan 2024","-","-","-","31777.22"
"NIFTY MIDSMALL HEALTHCARE","03 Jan 2024","-","-","-","31422.57"
"NIFTY MIDSMALL HEALTHCARE","02 Jan 2024","-","-","-","31142.12"
"NIFTY MIDSMALL HEALTHCARE","01 Jan 2024","-","-","-","30711.92"
"NIFTY MIDSMALL HEALTHCARE","29 Dec 2023","-","-","-","30598.71"
"NIFTY MIDSMALL HEALTHCARE","28 Dec 2023","-","-","-","30415.38"
"NIFTY MIDSMALL HEALTHCARE","27 Dec 2023","-","-","-","30160.00"
"NIFTY MIDSMALL HEALTHCARE","26 Dec 2023","-","-","-","29988.14"
"NIFTY MIDSMALL HEALTHCARE","22 Dec 2023","-","-","-","29664.18"
