"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","15 Mar 2024","20475.6","20523.35","20066.8","20192.30"
"NIFTY AUTO","14 Mar 2024","20235.05","20569.25","20169.85","20514.25"
"NIFTY AUTO","13 Mar 2024","20942.25","20988.55","20211.2","20338.25"
"NIFTY AUTO","12 Mar 2024","20999.3","21077.05","20853.85","20931.85"
"NIFTY AUTO","11 Mar 2024","21213.4","21219.85","20962","21001.15"
"NIFTY AUTO","07 Mar 2024","21141.4","21247.55","21004.5","21126.80"
"NIFTY AUTO","06 Mar 2024","21153.35","21229.35","20888.8","21181.30"
"NIFTY AUTO","05 Mar 2024","21003.1","21348.95","20930.4","21121.20"
"NIFTY AUTO","04 Mar 2024","20998.85","21040.35","20824.95","20840.20"
"NIFTY AUTO","02 Mar 2024","20980.25","21006.75","20902.9","20941.95"
"NIFTY AUTO","01 Mar 2024","20485.75","20918.25","20473.3","20871.95"
"NIFTY AUTO","29 Feb 2024","20317.8","20481.75","20230.2","20412.40"
"NIFTY AUTO","28 Feb 2024","20808.4","20830.4","20325.7","20372.35"
"NIFTY AUTO","27 Feb 2024","20633.4","20825.85","20593","20788.55"
"NIFTY AUTO","26 Feb 2024","20633.45","20714.45","20537.5","20642.40"
"NIFTY AUTO","23 Feb 2024","20692.8","20711","20540.75","20621.35"
"NIFTY AUTO","22 Feb 2024","20341.15","20621.95","20181","20584.85"
"NIFTY AUTO","21 Feb 2024","20372","20494.1","20192.45","20252.55"
"NIFTY AUTO","20 Feb 2024","20459.35","20480.4","20239.5","20354.25"
"NIFTY AUTO","19 Feb 2024","20514.2","20548.8","20380.9","20481.60"
"NIFTY AUTO","16 Feb 2024","20093.65","20515.05","20074.1","20423.45"
"NIFTY AUTO","15 Feb 2024","19842.65","20029.1","19811.95","19981.70"
"NIFTY AUTO","14 Feb 2024","19300.5","19770.8","19257.1","19716.00"
"NIFTY AUTO","13 Feb 2024","19504.95","19554","19235.9","19433.05"
"NIFTY AUTO","12 Feb 2024","19644","19653.15","19364.5","19419.60"
"NIFTY AUTO","09 Feb 2024","19709.75","19713.35","19365.2","19576.00"
"NIFTY AUTO","08 Feb 2024","19963.25","19974.55","19607.5","19649.50"
"NIFTY AUTO","07 Feb 2024","19977.75","20033.6","19762.2","19903.80"
"NIFTY AUTO","06 Feb 2024","19731.2","19912.45","19683.9","19903.85"
"NIFTY AUTO","05 Feb 2024","19655.85","19823.35","19529.2","19615.30"
"NIFTY AUTO","02 Feb 2024","19364","19563.05","19304.75","19380.50"
"NIFTY AUTO","01 Feb 2024","19351.85","19559.55","19283.35","19328.70"
"NIFTY AUTO","31 Jan 2024","18887.15","19257.1","18861.55","19227.15"
"NIFTY AUTO","30 Jan 2024","18993.65","19123.7","18859.1","18878.35"
"NIFTY AUTO","29 Jan 2024","18631","18949.6","18570.75","18927.25"
"NIFTY AUTO","25 Jan 2024","18707.75","18709.1","18434.45","18614.90"
"NIFTY AUTO","24 Jan 2024","18384.6","18632.15","18143.75","18593.70"
"NIFTY AUTO","23 Jan 2024","18649.6","18763","18314.15","18361.00"
"NIFTY AUTO","20 Jan 2024","18752.25","18786.75","18592.15","18651.10"
"NIFTY AUTO","19 Jan 2024","18585.05","18708.35","18572.75","18694.60"
"NIFTY AUTO","18 Jan 2024","18402.5","18528.45","18142.5","18496.25"
"NIFTY AUTO","17 Jan 2024","18537","18620","18413.65","18447.25"
"NIFTY AUTO","16 Jan 2024","18749.1","18865.85","18642.3","18712.70"
"NIFTY AUTO","15 Jan 2024","18796.65","18799.4","18623.6","18765.25"
"NIFTY AUTO","12 Jan 2024","18771","18798.75","18588.15","18715.20"
"NIFTY AUTO","11 Jan 2024","18648.5","18826.9","18631.45","18755.10"
"NIFTY AUTO","10 Jan 2024","18565.6","18575.1","18384.45","18559.10"
"NIFTY AUTO","09 Jan 2024","18542.45","18606.15","18402.4","18519.80"
"NIFTY AUTO","08 Jan 2024","18490.65","18556.75","18332.3","18350.20"
"NIFTY AUTO","05 Jan 2024","18378.45","18514.75","18345.2","18406.95"
"NIFTY AUTO","04 Jan 2024","18428.95","18428.95","18296.75","18326.75"
"NIFTY AUTO","03 Jan 2024","18361.3","18395.45","18175.5","18317.50"
"NIFTY AUTO","02 Jan 2024","18651.35","18664.35","18241","18339.35"
"NIFTY AUTO","01 Jan 2024","18666.35","18707.8","18565.05","18594.35"
"NIFTY AUTO","29 Dec 2023","18440.8","18719.5","18417.85","18618.20"
"NIFTY AUTO","28 Dec 2023","18244.35","18446.55","18234.75","18408.60"
"NIFTY AUTO","27 Dec 2023","18040.35","18242.85","18009.75","18224.85"
"NIFTY AUTO","26 Dec 2023","17841.9","17977.05","17806.9","17953.55"
"NIFTY AUTO","22 Dec 2023","17627.75","17840.6","17566.85","17778.90"
"NIFTY AUTO","21 Dec 2023","17405","17603.55","17294.35","17537.85"
"NIFTY AUTO","20 Dec 2023","18019.1","18038.5","17479.9","17523.55"
"NIFTY AUTO","19 Dec 2023","18112.25","18116.55","17905.1","17932.70"
"NIFTY AUTO","18 Dec 2023","18048.45","18156.1","17969.75","18068.25"
"NIFTY AUTO","15 Dec 2023","18179.2","18182.1","17843.25","18038.25"
"NIFTY AUTO","14 Dec 2023","17998.55","18077","17926.6","18045.05"
"NIFTY AUTO","13 Dec 2023","17753.8","17937.15","17699.65","17917.90"
"NIFTY AUTO","12 Dec 2023","17927.4","17935","17630.65","17726.50"
"NIFTY AUTO","11 Dec 2023","17811.15","17885.85","17711.65","17852.30"
"NIFTY AUTO","08 Dec 2023","17914.95","17948.25","17663.3","17769.10"
"NIFTY AUTO","07 Dec 2023","17865.75","18005.6","17757.4","17867.35"
"NIFTY AUTO","06 Dec 2023","17775.35","17827.7","17672.95","17788.40"
"NIFTY AUTO","05 Dec 2023","17728.85","17868.5","17681.6","17792.10"
"NIFTY AUTO","04 Dec 2023","17756.15","17756.95","17530.95","17687.25"
"NIFTY AUTO","01 Dec 2023","17611.25","17644.75","17462.05","17489.05"
"NIFTY AUTO","30 Nov 2023","17514.65","17588.55","17436.7","17551.85"
"NIFTY AUTO","29 Nov 2023","17286.5","17503.75","17244.25","17482.45"
"NIFTY AUTO","28 Nov 2023","17092","17230.55","17047.1","17202.75"
"NIFTY AUTO","24 Nov 2023","17067.15","17080.85","17014.1","17040.35"
"NIFTY AUTO","23 Nov 2023","17018.75","17067.95","16993.75","17033.55"
"NIFTY AUTO","22 Nov 2023","16880.1","16992.55","16767.65","16972.20"
"NIFTY AUTO","21 Nov 2023","16824.65","16871.4","16758.3","16860.10"
"NIFTY AUTO","20 Nov 2023","16912.45","16951.3","16730.1","16777.30"
"NIFTY AUTO","17 Nov 2023","16819.35","16951.6","16798.9","16905.50"
"NIFTY AUTO","16 Nov 2023","16667.3","16863.85","16632.3","16788.90"
"NIFTY AUTO","15 Nov 2023","16522.65","16666.8","16421.75","16648.50"
"NIFTY AUTO","13 Nov 2023","16370.15","16387.2","16307.8","16365.30"
"NIFTY AUTO","12 Nov 2023","16440.85","16440.85","16364.55","16377.05"
"NIFTY AUTO","10 Nov 2023","16340.75","16341.1","16185.5","16286.70"
"NIFTY AUTO","09 Nov 2023","16253.55","16401.5","16229.65","16355.30"
"NIFTY AUTO","08 Nov 2023","16220.2","16235.95","16166","16220.80"
"NIFTY AUTO","07 Nov 2023","16171.4","16220.35","16116.6","16143.75"
"NIFTY AUTO","06 Nov 2023","16156.95","16185.65","16102.85","16172.75"
"NIFTY AUTO","03 Nov 2023","16108.7","16130.1","16015.1","16045.40"
"NIFTY AUTO","02 Nov 2023","15948.05","15977.9","15836","15948.65"
"NIFTY AUTO","01 Nov 2023","15952","16007.5","15807.95","15835.65"
"NIFTY AUTO","31 Oct 2023","16139.25","16139.25","15899.25","15916.20"
"NIFTY AUTO","30 Oct 2023","16215.65","16242.35","15831.8","16023.45"
"NIFTY AUTO","27 Oct 2023","16002.25","16279.8","16002.15","16169.15"
"NIFTY AUTO","26 Oct 2023","16129.75","16155.7","15928.6","15953.05"
"NIFTY AUTO","25 Oct 2023","16297.55","16343.65","16082.45","16210.45"
"NIFTY AUTO","23 Oct 2023","16450.85","16538.1","16253.75","16277.85"
"NIFTY AUTO","20 Oct 2023","16579.45","16664.85","16470.25","16497.85"
"NIFTY AUTO","19 Oct 2023","16458","16645.7","16445.25","16618.00"
"NIFTY AUTO","18 Oct 2023","16544.05","16592.95","16482.65","16535.40"
"NIFTY AUTO","17 Oct 2023","16585.7","16618.45","16490.55","16522.75"
"NIFTY AUTO","16 Oct 2023","16460.05","16551.9","16446.15","16519.35"
"NIFTY AUTO","13 Oct 2023","16231.25","16468","16229.35","16444.95"
"NIFTY AUTO","12 Oct 2023","16232.90","16327.40","16216.85","16301.70"
"NIFTY AUTO","11 Oct 2023","16088.95","16204.25","16085.20","16175.80"
"NIFTY AUTO","10 Oct 2023","15892.25","16059.30","15877.05","16028.70"
"NIFTY AUTO","09 Oct 2023","15891.10","15958.80","15801.85","15832.85"
"NIFTY AUTO","06 Oct 2023","16025.20","16039.80","15966.40","15990.65"
"NIFTY AUTO","05 Oct 2023","15878.95","15960.70","15785.90","15916.10"
"NIFTY AUTO","04 Oct 2023","15952.25","15952.60","15715.90","15782.60"
