"Index Name","Date","Open","High","Low","Close"
"NIFTY CONSUMER DURABLES","15 Mar 2024","31643.7","31784.1","31362.8","31567.25"
"NIFTY CONSUMER DURABLES","14 Mar 2024","31240.15","31713.35","30906.55","31642.65"
"NIFTY CONSUMER DURABLES","13 Mar 2024","32320.75","32389.1","31034.5","31269.05"
"NIFTY CONSUMER DURABLES","12 Mar 2024","32600.7","32622.3","32128.5","32178.00"
"NIFTY CONSUMER DURABLES","11 Mar 2024","32926.6","32965.15","32507.55","32540.30"
"NIFTY CONSUMER DURABLES","07 Mar 2024","32685.5","32918.3","32587.8","32782.35"
"NIFTY CONSUMER DURABLES","06 Mar 2024","32786.45","32800.3","32203.75","32654.90"
"NIFTY CONSUMER DURABLES","05 Mar 2024","32925.35","32941.8","32575.2","32654.75"
"NIFTY CONSUMER DURABLES","04 Mar 2024","33017.25","33017.25","32693.95","32860.90"
"NIFTY CONSUMER DURABLES","02 Mar 2024","32699.25","33050.55","32675.35","32971.90"
"NIFTY CONSUMER DURABLES","01 Mar 2024","32152.1","32631.45","32036.3","32593.50"
"NIFTY CONSUMER DURABLES","29 Feb 2024","32005.9","32160.15","31689.1","32046.90"
"NIFTY CONSUMER DURABLES","28 Feb 2024","32175.1","32341.1","31905.3","31983.90"
"NIFTY CONSUMER DURABLES","27 Feb 2024","31824","32129.7","31758.45","32089.00"
"NIFTY CONSUMER DURABLES","26 Feb 2024","32105.05","32137.8","31741.55","31795.20"
"NIFTY CONSUMER DURABLES","23 Feb 2024","32006.05","32185.6","31948.75","32080.40"
"NIFTY CONSUMER DURABLES","22 Feb 2024","32004.95","32004.95","31511.95","31889.35"
"NIFTY CONSUMER DURABLES","21 Feb 2024","31950.55","32104.9","31740.25","31849.40"
"NIFTY CONSUMER DURABLES","20 Feb 2024","32061.85","32169.8","31885.1","31933.85"
"NIFTY CONSUMER DURABLES","19 Feb 2024","31570.75","32079.8","31512.45","32025.15"
"NIFTY CONSUMER DURABLES","16 Feb 2024","31444.2","31564.3","31338.75","31437.85"
"NIFTY CONSUMER DURABLES","15 Feb 2024","31140.45","31317.45","31048.95","31277.60"
"NIFTY CONSUMER DURABLES","14 Feb 2024","30739.15","31169.6","30629.9","31115.90"
"NIFTY CONSUMER DURABLES","13 Feb 2024","30860.55","31034.5","30456.65","30959.70"
"NIFTY CONSUMER DURABLES","12 Feb 2024","30998.8","31064.15","30690.3","30756.20"
"NIFTY CONSUMER DURABLES","09 Feb 2024","30997.05","31104.5","30711.6","31028.95"
"NIFTY CONSUMER DURABLES","08 Feb 2024","31318.6","31319.25","30787.4","30958.55"
"NIFTY CONSUMER DURABLES","07 Feb 2024","31267.75","31351.5","31014.65","31148.55"
"NIFTY CONSUMER DURABLES","06 Feb 2024","31083.65","31243.2","30980.35","31066.40"
"NIFTY CONSUMER DURABLES","05 Feb 2024","31496.55","31555.85","30974.8","31056.10"
"NIFTY CONSUMER DURABLES","02 Feb 2024","31447.2","31697.55","31281.55","31430.50"
"NIFTY CONSUMER DURABLES","01 Feb 2024","31697.25","31697.25","31212.4","31332.30"
"NIFTY CONSUMER DURABLES","31 Jan 2024","31071","31507.35","30900.8","31471.65"
"NIFTY CONSUMER DURABLES","30 Jan 2024","31729.8","31734.5","30950.85","31074.65"
"NIFTY CONSUMER DURABLES","29 Jan 2024","31076.8","31626.95","31063","31582.00"
"NIFTY CONSUMER DURABLES","25 Jan 2024","31238.7","31311.8","30795.35","31048.70"
"NIFTY CONSUMER DURABLES","24 Jan 2024","30978.2","31251.5","30687.4","31208.80"
"NIFTY CONSUMER DURABLES","23 Jan 2024","31663.4","31795.9","30799.75","30911.20"
"NIFTY CONSUMER DURABLES","20 Jan 2024","32025.9","32070.15","31611.55","31635.15"
"NIFTY CONSUMER DURABLES","19 Jan 2024","31787.55","32067.95","31731.05","31848.20"
"NIFTY CONSUMER DURABLES","18 Jan 2024","32099.15","32185.1","31503.6","31703.50"
"NIFTY CONSUMER DURABLES","17 Jan 2024","32144.35","32411.25","31988.2","32252.45"
"NIFTY CONSUMER DURABLES","16 Jan 2024","32235.55","32590.2","32168.8","32303.70"
"NIFTY CONSUMER DURABLES","15 Jan 2024","32156.25","32284.65","32025.4","32218.35"
"NIFTY CONSUMER DURABLES","12 Jan 2024","31960.45","32138.15","31821.9","32106.00"
"NIFTY CONSUMER DURABLES","11 Jan 2024","31676.3","32056.5","31658.95","31893.35"
"NIFTY CONSUMER DURABLES","10 Jan 2024","31365.15","31565.6","31307.7","31520.00"
"NIFTY CONSUMER DURABLES","09 Jan 2024","31459.25","31564.9","31269.25","31312.40"
"NIFTY CONSUMER DURABLES","08 Jan 2024","31682.7","31702.9","31219.85","31268.90"
"NIFTY CONSUMER DURABLES","05 Jan 2024","31441.55","31582.2","31296.6","31472.75"
"NIFTY CONSUMER DURABLES","04 Jan 2024","31305.05","31463.9","31290.25","31410.10"
"NIFTY CONSUMER DURABLES","03 Jan 2024","31176.65","31372.25","30988.95","31221.75"
"NIFTY CONSUMER DURABLES","02 Jan 2024","31189.8","31200.1","30699.75","31117.45"
"NIFTY CONSUMER DURABLES","01 Jan 2024","31212.95","31258.15","31060.4","31117.30"
"NIFTY CONSUMER DURABLES","29 Dec 2023","31090.05","31250.1","30919.55","31132.35"
"NIFTY CONSUMER DURABLES","28 Dec 2023","31160.4","31166.85","30998.55","31036.50"
"NIFTY CONSUMER DURABLES","27 Dec 2023","31004.25","31082.8","30864.8","31045.20"
"NIFTY CONSUMER DURABLES","26 Dec 2023","30829.05","30942.95","30760.2","30880.75"
"NIFTY CONSUMER DURABLES","22 Dec 2023","30624.35","30831.25","30505.8","30767.70"
"NIFTY CONSUMER DURABLES","21 Dec 2023","30089.65","30560.4","29929.85","30505.55"
"NIFTY CONSUMER DURABLES","20 Dec 2023","30805.55","31195.65","30154.15","30239.10"
"NIFTY CONSUMER DURABLES","19 Dec 2023","30489.75","30773.75","30449.75","30711.20"
"NIFTY CONSUMER DURABLES","18 Dec 2023","30321.2","30572.3","30237","30461.00"
"NIFTY CONSUMER DURABLES","15 Dec 2023","30423.45","30483.8","30274.75","30306.30"
"NIFTY CONSUMER DURABLES","14 Dec 2023","30544.95","30544.95","30217.05","30255.25"
"NIFTY CONSUMER DURABLES","13 Dec 2023","30330.2","30348.35","29983.8","30289.30"
"NIFTY CONSUMER DURABLES","12 Dec 2023","30645.55","30794.55","30187.85","30245.80"
"NIFTY CONSUMER DURABLES","11 Dec 2023","30448.8","30597.95","30311.7","30563.00"
"NIFTY CONSUMER DURABLES","08 Dec 2023","30333.15","30444.25","30200.6","30387.00"
"NIFTY CONSUMER DURABLES","07 Dec 2023","30041.35","30350.5","29828.7","30313.80"
"NIFTY CONSUMER DURABLES","06 Dec 2023","30140.8","30186.55","29970.45","30004.95"
"NIFTY CONSUMER DURABLES","05 Dec 2023","29814.75","30074.6","29785.4","30044.60"
"NIFTY CONSUMER DURABLES","04 Dec 2023","30112.3","30131.65","29648.05","29767.55"
"NIFTY CONSUMER DURABLES","01 Dec 2023","29553.6","29791.6","29430.05","29688.60"
"NIFTY CONSUMER DURABLES","30 Nov 2023","29081.5","29484.8","28952.55","29439.60"
"NIFTY CONSUMER DURABLES","29 Nov 2023","29235.7","29238.9","28998.95","29029.55"
"NIFTY CONSUMER DURABLES","28 Nov 2023","29067.7","29129","28949.7","29054.75"
"NIFTY CONSUMER DURABLES","24 Nov 2023","29115.05","29153.1","28939.05","28979.05"
"NIFTY CONSUMER DURABLES","23 Nov 2023","29274.2","29307.6","29034.45","29073.45"
"NIFTY CONSUMER DURABLES","22 Nov 2023","29201.35","29297.4","29077.6","29199.15"
"NIFTY CONSUMER DURABLES","21 Nov 2023","28966.1","29202.55","28943.7","29137.35"
"NIFTY CONSUMER DURABLES","20 Nov 2023","28881.9","28910.05","28727.95","28830.45"
"NIFTY CONSUMER DURABLES","17 Nov 2023","28834.05","29029.25","28791.05","28844.85"
"NIFTY CONSUMER DURABLES","16 Nov 2023","28589","28972.5","28479.65","28852.70"
"NIFTY CONSUMER DURABLES","15 Nov 2023","28475","28586.1","28371.85","28556.40"
"NIFTY CONSUMER DURABLES","13 Nov 2023","28598.3","28609.4","28341.95","28385.40"
"NIFTY CONSUMER DURABLES","12 Nov 2023","28720.9","28787.95","28580.05","28617.25"
"NIFTY CONSUMER DURABLES","10 Nov 2023","28402.6","28466.1","28219.1","28424.75"
"NIFTY CONSUMER DURABLES","09 Nov 2023","28698.6","28761.6","28451.7","28469.45"
"NIFTY CONSUMER DURABLES","08 Nov 2023","28600.25","28731.2","28514.65","28626.50"
"NIFTY CONSUMER DURABLES","07 Nov 2023","28601.4","28618.2","28458.25","28480.55"
"NIFTY CONSUMER DURABLES","06 Nov 2023","28784","28785.95","28439","28548.75"
"NIFTY CONSUMER DURABLES","03 Nov 2023","28410.7","28680.9","28352.8","28644.80"
"NIFTY CONSUMER DURABLES","02 Nov 2023","28195.35","28357.95","28127.7","28299.35"
"NIFTY CONSUMER DURABLES","01 Nov 2023","28097.35","28174.8","27998.5","28029.20"
"NIFTY CONSUMER DURABLES","31 Oct 2023","28083.85","28217.05","27830.05","28061.50"
"NIFTY CONSUMER DURABLES","30 Oct 2023","28020.05","28079.85","27706.45","27890.30"
"NIFTY CONSUMER DURABLES","27 Oct 2023","27974","28172.55","27963.4","28032.70"
"NIFTY CONSUMER DURABLES","26 Oct 2023","28012.8","28111.75","27686.9","27851.15"
"NIFTY CONSUMER DURABLES","25 Oct 2023","28289.7","28435.05","28073.85","28152.25"
"NIFTY CONSUMER DURABLES","23 Oct 2023","28623.65","28707.1","28175.6","28234.45"
"NIFTY CONSUMER DURABLES","20 Oct 2023","28953.85","29139.15","28635.15","28685.55"
"NIFTY CONSUMER DURABLES","19 Oct 2023","29047.85","29243.9","28947.75","29165.85"
"NIFTY CONSUMER DURABLES","18 Oct 2023","29410.65","29419.95","29049.55","29107.95"
"NIFTY CONSUMER DURABLES","17 Oct 2023","29520.4","29623.3","29350.55","29380.75"
"NIFTY CONSUMER DURABLES","16 Oct 2023","29143.9","29452.4","29140.35","29385.60"
"NIFTY CONSUMER DURABLES","13 Oct 2023","29182.25","29296.8","29088.65","29164.80"
"NIFTY CONSUMER DURABLES","12 Oct 2023","29275.60","29282.65","29153.90","29214.20"
"NIFTY CONSUMER DURABLES","11 Oct 2023","29159.30","29312.90","29103.40","29153.35"
"NIFTY CONSUMER DURABLES","10 Oct 2023","29050.65","29116.05","29006.25","29038.00"
"NIFTY CONSUMER DURABLES","09 Oct 2023","29113.30","29152.80","28864.90","28909.85"
"NIFTY CONSUMER DURABLES","06 Oct 2023","29215.85","29378.35","29153.25","29341.65"
"NIFTY CONSUMER DURABLES","05 Oct 2023","29059.65","29244.60","29032.25","29118.80"
"NIFTY CONSUMER DURABLES","04 Oct 2023","29057.00","29189.45","28811.55","28955.85"
"NIFTY CONSUMER DURABLES","03 Oct 2023","28940.85","29308.00","28773.15","29131.20"
"NIFTY CONSUMER DURABLES","29 Sep 2023","28935.85","29126.10","28862.15","28948.90"
"NIFTY CONSUMER DURABLES","28 Sep 2023","29262.85","29309.05","28811.85","28871.50"
"NIFTY CONSUMER DURABLES","27 Sep 2023","29174.45","29225.85","29059.70","29198.15"
"NIFTY CONSUMER DURABLES","26 Sep 2023","29324.7","29393","29162.45","29202.65"
"NIFTY CONSUMER DURABLES","25 Sep 2023","29120.15","29386.95","28995.70","29240.00"
"NIFTY CONSUMER DURABLES","22 Sep 2023","29320.75","29365.20","29063.85","29098.95"
"NIFTY CONSUMER DURABLES","21 Sep 2023","29416.70","29508.70","29272.40","29336.40"
"NIFTY CONSUMER DURABLES","20 Sep 2023","29449.30","29625.20","29309.75","29457.20"
"NIFTY CONSUMER DURABLES","18 Sep 2023","29432.00","29581.15","29313.30","29540.40"
"NIFTY CONSUMER DURABLES","15 Sep 2023","29307.45","29426.85","29166.45","29360.15"
"NIFTY CONSUMER DURABLES","14 Sep 2023","29419.35","29522.30","29148.60","29215.25"
"NIFTY CONSUMER DURABLES","13 Sep 2023","29052.70","29314.10","28818.80","29266.15"
"NIFTY CONSUMER DURABLES","12 Sep 2023","29770.70","29776.05","29064.85","29093.10"
"NIFTY CONSUMER DURABLES","11 Sep 2023","29741.70","29748.25","29548.15","29658.50"
"NIFTY CONSUMER DURABLES","08 Sep 2023","29312.40","29638.80","29280.05","29606.35"
"NIFTY CONSUMER DURABLES","07 Sep 2023","29072.35","29229.35","28984.05","29202.30"
"NIFTY CONSUMER DURABLES","06 Sep 2023","28958.95","29116.25","28854.00","29025.65"
"NIFTY CONSUMER DURABLES","05 Sep 2023","28798.05","28996.75","28696.10","28854.00"
"NIFTY CONSUMER DURABLES","04 Sep 2023","28828.45","28871.75","28639.00","28696.10"
"NIFTY CONSUMER DURABLES","01 Sep 2023","28777.00","28859.60","28701.45","28758.50"
"NIFTY CONSUMER DURABLES","31 Aug 2023","28560.95","28762.05","28476.50","28701.90"
"NIFTY CONSUMER DURABLES","30 Aug 2023","28436.25","28602.50","28391.40","28466.75"
"NIFTY CONSUMER DURABLES","29 Aug 2023","28194.00","28365.80","28140.95","28333.25"
"NIFTY CONSUMER DURABLES","28 Aug 2023","28145.35","28227.95","28064.75","28154.80"
"NIFTY CONSUMER DURABLES","25 Aug 2023","28243.80","28303.00","28017.20","28092.05"
"NIFTY CONSUMER DURABLES","24 Aug 2023","28558.00","28618.65","28279.80","28314.15"
"NIFTY CONSUMER DURABLES","23 Aug 2023","28441.80","28565.20","28372.55","28454.15"
"NIFTY CONSUMER DURABLES","22 Aug 2023","28212.70","28330.15","28054.95","28303.75"
"NIFTY CONSUMER DURABLES","21 Aug 2023","27951.90","28132.95","27945.80","28109.20"
"NIFTY CONSUMER DURABLES","18 Aug 2023","28075.95","28130.10","27865.20","27914.60"
"NIFTY CONSUMER DURABLES","17 Aug 2023","27609.65","28093.35","27557.95","28057.40"
"NIFTY CONSUMER DURABLES","16 Aug 2023","27643.70","27649.40","27383.55","27564.60"
"NIFTY CONSUMER DURABLES","14 Aug 2023","27763.45","27777.60","27412.10","27672.25"
"NIFTY CONSUMER DURABLES","11 Aug 2023","27820.75","27971.10","27740.70","27787.55"
"NIFTY CONSUMER DURABLES","10 Aug 2023","27885.50","27885.50","27642.85","27762.10"
"NIFTY CONSUMER DURABLES","09 Aug 2023","27719.90","27912.95","27656.20","27873.50"
"NIFTY CONSUMER DURABLES","08 Aug 2023","27596.75","27726.65","27530.45","27642.85"
"NIFTY CONSUMER DURABLES","07 Aug 2023","27509.85","27527.85","27239.00","27499.05"
"NIFTY CONSUMER DURABLES","04 Aug 2023","27244.75","27542.40","27231.15","27410.50"
"NIFTY CONSUMER DURABLES","03 Aug 2023","27055.85","27293.10","26933.55","27136.50"
"NIFTY CONSUMER DURABLES","02 Aug 2023","27424.05","27428.75","27056.85","27214.15"
"NIFTY CONSUMER DURABLES","01 Aug 2023","27541.05","27560.05","27360.05","27402.45"
"NIFTY CONSUMER DURABLES","31 Jul 2023","27042.15","27470.80","27032.50","27408.25"
"NIFTY CONSUMER DURABLES","28 Jul 2023","27083.00","27181.00","26967.80","27151.65"
"NIFTY CONSUMER DURABLES","27 Jul 2023","27205.80","27223.30","26951.80","27034.90"
"NIFTY CONSUMER DURABLES","26 Jul 2023","27298.45","27318.45","27093.00","27128.30"
"NIFTY CONSUMER DURABLES","25 Jul 2023","27004.65","27235.10","26990.45","27212.30"
"NIFTY CONSUMER DURABLES","24 Jul 2023","27061.50","27105.80","26876.10","26998.25"
"NIFTY CONSUMER DURABLES","21 Jul 2023","27390.60","27419.00","27035.90","27081.90"
"NIFTY CONSUMER DURABLES","20 Jul 2023","27556.90","27633.10","27383.80","27438.05"
"NIFTY CONSUMER DURABLES","19 Jul 2023","27393.35","27558.15","27329.20","27487.55"
