"Index Name","Date","Open","High","Low","Close"
"NIFTY PRIVATE BANK","15 Mar 2024","23226.05","23400.4","23147.7","23323.00"
"NIFTY PRIVATE BANK","14 Mar 2024","23314.4","23576.05","23205.45","23332.50"
"NIFTY PRIVATE BANK","13 Mar 2024","23641.45","23701.65","23368.8","23441.10"
"NIFTY PRIVATE BANK","12 Mar 2024","23622.35","23834.65","23390","23605.35"
"NIFTY PRIVATE BANK","11 Mar 2024","23827.15","23857.6","23559.55","23595.00"
"NIFTY PRIVATE BANK","07 Mar 2024","23967","23982.1","23807.7","23848.15"
"NIFTY PRIVATE BANK","06 Mar 2024","23667.05","24066.95","23667.05","23938.80"
"NIFTY PRIVATE BANK","05 Mar 2024","23684.9","23840.4","23621","23731.75"
"NIFTY PRIVATE BANK","04 Mar 2024","23693.05","23816","23638.3","23779.70"
"NIFTY PRIVATE BANK","02 Mar 2024","23737.5","23772.95","23644.4","23685.85"
"NIFTY PRIVATE BANK","01 Mar 2024","23155.1","23720.85","23155.1","23688.85"
"NIFTY PRIVATE BANK","29 Feb 2024","22974.6","23204.45","22849","23104.70"
"NIFTY PRIVATE BANK","28 Feb 2024","23402.75","23443.45","22958.25","23019.00"
"NIFTY PRIVATE BANK","27 Feb 2024","23277.4","23420.15","23186.5","23372.70"
"NIFTY PRIVATE BANK","26 Feb 2024","23347.4","23456.35","23280.9","23317.20"
"NIFTY PRIVATE BANK","23 Feb 2024","23538.05","23624.05","23385","23430.85"
"NIFTY PRIVATE BANK","22 Feb 2024","23413.25","23479.65","23189.15","23430.50"
"NIFTY PRIVATE BANK","21 Feb 2024","23691.4","23691.4","23380.7","23445.95"
"NIFTY PRIVATE BANK","20 Feb 2024","23207.95","23562.15","23167.75","23534.70"
"NIFTY PRIVATE BANK","19 Feb 2024","23322.9","23397.85","23224.95","23296.50"
"NIFTY PRIVATE BANK","16 Feb 2024","23185.75","23354.4","23102.8","23240.90"
"NIFTY PRIVATE BANK","15 Feb 2024","23029.05","23103.1","22777.25","23054.30"
"NIFTY PRIVATE BANK","14 Feb 2024","22628.15","23121","22544.4","22983.20"
"NIFTY PRIVATE BANK","13 Feb 2024","22631.35","22994.35","22507.7","22866.85"
