"Index Name","Date","Open","High","Low","Close"
"NIFTY REALTY","15 Mar 2024","833.45","846.65","818.65","830.15"
"NIFTY REALTY","14 Mar 2024","815.85","836.5","808.45","831.55"
"NIFTY REALTY","13 Mar 2024","871.1","882.8","814.7","826.50"
"NIFTY REALTY","12 Mar 2024","911.9","913.35","870.2","872.90"
"NIFTY REALTY","11 Mar 2024","921.9","935.15","903.6","906.55"
"NIFTY REALTY","07 Mar 2024","920.55","925.25","912.6","916.50"
"NIFTY REALTY","06 Mar 2024","929.7","930.2","901.75","917.85"
"NIFTY REALTY","05 Mar 2024","927.85","936.3","925.2","930.35"
"NIFTY REALTY","04 Mar 2024","929.85","936","923.75","927.45"
"NIFTY REALTY","02 Mar 2024","922.05","926.9","919.45","925.95"
"NIFTY REALTY","01 Mar 2024","913.2","919.65","907.25","917.10"
"NIFTY REALTY","29 Feb 2024","909.2","915.45","894.45","910.55"
"NIFTY REALTY","28 Feb 2024","929.4","932.1","899.5","909.50"
"NIFTY REALTY","27 Feb 2024","920.15","931.55","917.95","929.15"
"NIFTY REALTY","26 Feb 2024","919.7","925.15","907.25","919.35"
"NIFTY REALTY","23 Feb 2024","916.55","925.25","912.85","918.75"
"NIFTY REALTY","22 Feb 2024","910.05","911.5","898.55","909.65"
"NIFTY REALTY","21 Feb 2024","889.65","913.4","888.75","904.75"
"NIFTY REALTY","20 Feb 2024","879.9","894.45","879.9","887.00"
"NIFTY REALTY","19 Feb 2024","885.3","886.4","872","876.80"
"NIFTY REALTY","16 Feb 2024","875.65","885.35","867","882.70"
"NIFTY REALTY","15 Feb 2024","866.75","877.75","863.45","869.40"
"NIFTY REALTY","14 Feb 2024","838.2","865.9","836.3","861.00"
"NIFTY REALTY","13 Feb 2024","850.25","852.85","833.85","850.40"
"NIFTY REALTY","12 Feb 2024","876.45","878.55","847.05","849.95"
"NIFTY REALTY","09 Feb 2024","877.8","878.75","855.65","875.95"
"NIFTY REALTY","08 Feb 2024","882.1","883.45","873.35","876.05"
"NIFTY REALTY","07 Feb 2024","876.85","892.8","874.95","882.15"
"NIFTY REALTY","06 Feb 2024","867.55","868.9","855.3","866.25"
"NIFTY REALTY","05 Feb 2024","854.2","871.7","853.9","862.75"
"NIFTY REALTY","02 Feb 2024","853","868.35","849.35","856.20"
"NIFTY REALTY","01 Feb 2024","856.35","857.35","841.8","848.15"
"NIFTY REALTY","31 Jan 2024","838.55","858.55","835.25","856.20"
"NIFTY REALTY","30 Jan 2024","840.05","847.6","831.6","837.10"
"NIFTY REALTY","29 Jan 2024","825.05","837.3","819.45","833.90"
"NIFTY REALTY","25 Jan 2024","827.1","831.1","810.85","823.55"
"NIFTY REALTY","24 Jan 2024","815.95","822.2","794.5","818.10"
"NIFTY REALTY","23 Jan 2024","867.35","867.6","811.55","816.15"
"NIFTY REALTY","20 Jan 2024","870.9","875.3","859.95","861.95"
"NIFTY REALTY","19 Jan 2024","869.75","871.8","862.85","868.50"
"NIFTY REALTY","18 Jan 2024","852","863.45","830.1","862.50"
"NIFTY REALTY","17 Jan 2024","855.45","861.95","848.05","856.30"
"NIFTY REALTY","16 Jan 2024","885.1","885.1","860.55","868.60"
"NIFTY REALTY","15 Jan 2024","886.55","894.4","880.05","883.30"
"NIFTY REALTY","12 Jan 2024","871.45","885.25","868.2","881.05"
"NIFTY REALTY","11 Jan 2024","867.8","870.95","862.05","865.45"
"NIFTY REALTY","10 Jan 2024","868.65","868.65","853.15","865.80"
"NIFTY REALTY","09 Jan 2024","852.65","869.25","850.5","866.75"
"NIFTY REALTY","08 Jan 2024","846.35","855.75","841.3","845.45"
"NIFTY REALTY","05 Jan 2024","842.75","863","839.85","844.35"
"NIFTY REALTY","04 Jan 2024","791.4","844.4","789.95","841.30"
"NIFTY REALTY","03 Jan 2024","778.45","790.5","773.75","788.00"
"NIFTY REALTY","02 Jan 2024","788.45","790.75","774.3","778.45"
"NIFTY REALTY","01 Jan 2024","781.45","789","779.4","786.60"
